"Sector","Pressure","Ecological.Characteristic","Overlap","Frequency","DoI","ImpactRisk"
"Small vessels - pelagic trawlers","Marine Litter","Cephalopods","L","O","L",0.005445
"Small vessels - active demersal","Marine Litter","Benthic Habitat (& assoc. biota): VMEs","S","O","C",0.00198
"Small vessels - active demersal","Marine Litter","Benthic Habitat (& assoc. biota): non-VMEs","S","O","C",0.00198
"Small vessels - active demersal","Marine Litter","Pelagic Habitats (& assoc. biota)","L","O","L",0.005445
"Small vessels - active demersal","Marine Litter","Marine Mammals","L","O","C",0.02178
"Small vessels - active demersal","Marine Litter","Fish","L","O","L",0.005445
"Small vessels - active demersal","Marine Litter","Elasmobranchs","L","O","L",0.005445
"Small vessels - active demersal","Marine Litter","Reptiles","L","O","C",0.02178
"Small vessels - active demersal","Marine Litter","Seabirds","L","O","C",0.02178
"Small vessels - active demersal","Marine Litter","Cephalopods","L","O","L",0.005445
"Large vessels - pelagic trawlers","Marine Litter","Benthic Habitat (& assoc. biota): non-VMEs","S","O","C",0.00198
"Large vessels - pelagic trawlers","Marine Litter","Pelagic Habitats (& assoc. biota)","L","O","L",0.005445
"Large vessels - pelagic trawlers","Marine Litter","Marine Mammals","L","O","C",0.02178
"Large vessels - pelagic trawlers","Marine Litter","Fish","L","O","L",0.005445
"Large vessels - pelagic trawlers","Marine Litter","Elasmobranchs","L","O","L",0.005445
"Large vessels - pelagic trawlers","Marine Litter","Reptiles","L","O","C",0.02178
"Large vessels - pelagic trawlers","Marine Litter","Seabirds","L","O","C",0.02178
"Large vessels - pelagic trawlers","Marine Litter","Cephalopods","L","O","L",0.005445
"Large vessels - active demersal","Marine Litter","Benthic Habitat (& assoc. biota): VMEs","S","O","C",0.00198
"Large vessels - active demersal","Marine Litter","Benthic Habitat (& assoc. biota): non-VMEs","S","O","C",0.00198
"Large vessels - active demersal","Marine Litter","Pelagic Habitats (& assoc. biota)","L","O","L",0.005445
"Large vessels - active demersal","Marine Litter","Marine Mammals","L","O","C",0.02178
"Large vessels - active demersal","Marine Litter","Fish","L","O","L",0.005445
"Large vessels - active demersal","Marine Litter","Elasmobranchs","L","O","L",0.005445
"Large vessels - active demersal","Marine Litter","Reptiles","L","O","C",0.02178
"Large vessels - active demersal","Marine Litter","Seabirds","L","O","C",0.02178
"Large vessels - active demersal","Marine Litter","Cephalopods","L","O","L",0.005445
"Large vessels - reduction fisheries","Marine Litter","Benthic Habitat (& assoc. biota): non-VMEs","S","O","C",0.00198
"Large vessels - reduction fisheries","Marine Litter","Pelagic Habitats (& assoc. biota)","L","O","L",0.005445
"Large vessels - reduction fisheries","Marine Litter","Marine Mammals","L","O","C",0.02178
"Large vessels - reduction fisheries","Marine Litter","Fish","L","O","L",0.005445
"Large vessels - reduction fisheries","Marine Litter","Elasmobranchs","L","O","L",0.005445
"Large vessels - reduction fisheries","Marine Litter","Reptiles","L","O","C",0.02178
"Large vessels - reduction fisheries","Marine Litter","Seabirds","L","O","C",0.02178
"Large vessels - reduction fisheries","Marine Litter","Cephalopods","L","O","L",0.005445
"passive pelagic","Living Resources Extraction","Pelagic Habitats (& assoc. biota)","S","C","A",0.0201
"passive pelagic","Living Resources Extraction","Marine Mammals","S","O","A",0.0099
"passive pelagic","Living Resources Extraction","Fish","L","C","C",0.04422
"passive pelagic","Living Resources Extraction","Elasmobranchs","L","C","C",0.04422
"passive pelagic","Living Resources Extraction","Reptiles","S","O","A",0.0099
"passive pelagic","Living Resources Extraction","Seabirds","S","O","A",0.0099
"passive pelagic","Living Resources Extraction","Cephalopods","L","C","C",0.04422
"passive pelagic","Living Resources Extraction","Food Web (D4)","L","C","C",0.04422
"passive demersal","Living Resources Extraction","Benthic Habitat (& assoc. biota): VMEs","S","R","A",0.0024
"passive demersal","Living Resources Extraction","Benthic Habitat (& assoc. biota): non-VMEs","S","R","A",0.0024
"passive demersal","Living Resources Extraction","Fish","L","C","C",0.04422
"passive demersal","Living Resources Extraction","Elasmobranchs","L","C","C",0.04422
"passive demersal","Living Resources Extraction","Cephalopods","L","C","C",0.04422
"passive demersal","Living Resources Extraction","Food Web (D4)","L","C","C",0.04422
"Small vessels - pelagic trawlers","Living Resources Extraction","Pelagic Habitats (& assoc. biota)","WP","C","A",0.4489
"Small vessels - pelagic trawlers","Living Resources Extraction","Marine Mammals","S","R","A",0.0024
"Small vessels - pelagic trawlers","Living Resources Extraction","Fish","WP","C","A",0.4489
"Small vessels - pelagic trawlers","Living Resources Extraction","Elasmobranchs","L","C","A",0.2211
"Small vessels - pelagic trawlers","Living Resources Extraction","Reptiles","S","R","A",0.0024
"Small vessels - pelagic trawlers","Living Resources Extraction","Cephalopods","WP","C","A",0.4489
"Small vessels - pelagic trawlers","Living Resources Extraction","Food Web (D4)","WP","C","C",0.08978
"Small vessels - active demersal","Living Resources Extraction","Benthic Habitat (& assoc. biota): VMEs","S","R","A",0.0024
"Small vessels - active demersal","Living Resources Extraction","Benthic Habitat (& assoc. biota): non-VMEs","WP","C","A",0.4489
"Small vessels - active demersal","Living Resources Extraction","Pelagic Habitats (& assoc. biota)","L","O","C",0.02178
"Small vessels - active demersal","Living Resources Extraction","Marine Mammals","L","R","A",0.0264
"Small vessels - active demersal","Living Resources Extraction","Fish","L","C","A",0.2211
"Small vessels - active demersal","Living Resources Extraction","Elasmobranchs","L","C","A",0.2211
"Small vessels - active demersal","Living Resources Extraction","Reptiles","S","R","A",0.0024
"Small vessels - active demersal","Living Resources Extraction","Cephalopods","WP","C","A",0.4489
"Small vessels - active demersal","Living Resources Extraction","Food Web (D4)","WP","C","C",0.08978
"Large vessels - pelagic trawlers","Living Resources Extraction","Pelagic Habitats (& assoc. biota)","WP","C","A",0.4489
"Large vessels - pelagic trawlers","Living Resources Extraction","Marine Mammals","L","R","A",0.0264
"Large vessels - pelagic trawlers","Living Resources Extraction","Fish","WP","C","A",0.4489
"Large vessels - pelagic trawlers","Living Resources Extraction","Elasmobranchs","WP","C","A",0.4489
"Large vessels - pelagic trawlers","Living Resources Extraction","Reptiles","L","R","A",0.0264
"Large vessels - pelagic trawlers","Living Resources Extraction","Seabirds","L","R","L",0.00132
"Large vessels - pelagic trawlers","Living Resources Extraction","Cephalopods","WP","C","A",0.4489
"Large vessels - pelagic trawlers","Living Resources Extraction","Food Web (D4)","WP","C","C",0.08978
"Large vessels - active demersal","Living Resources Extraction","Benthic Habitat (& assoc. biota): VMEs","S","R","A",0.0024
"Large vessels - active demersal","Living Resources Extraction","Benthic Habitat (& assoc. biota): non-VMEs","WP","C","A",0.4489
"Large vessels - active demersal","Living Resources Extraction","Fish","WP","C","A",0.4489
"Large vessels - active demersal","Living Resources Extraction","Elasmobranchs","WP","C","A",0.4489
"Large vessels - active demersal","Living Resources Extraction","Reptiles","S","R","A",0.0024
"Large vessels - active demersal","Living Resources Extraction","Cephalopods","WP","C","A",0.4489
"Large vessels - active demersal","Living Resources Extraction","Food Web (D4)","WP","C","C",0.08978
"Large vessels - reduction fisheries","Living Resources Extraction","Benthic Habitat (& assoc. biota): non-VMEs","S","C","L",0.001005
"Large vessels - reduction fisheries","Living Resources Extraction","Pelagic Habitats (& assoc. biota)","WP","C","A",0.4489
"Large vessels - reduction fisheries","Living Resources Extraction","Marine Mammals","S","C","A",0.0201
"Large vessels - reduction fisheries","Living Resources Extraction","Fish","WP","C","C",0.08978
"Large vessels - reduction fisheries","Living Resources Extraction","Elasmobranchs","WP","C","C",0.08978
"Large vessels - reduction fisheries","Living Resources Extraction","Reptiles","S","R","A",0.0024
"Large vessels - reduction fisheries","Living Resources Extraction","Cephalopods","WP","C","C",0.08978
"Large vessels - reduction fisheries","Living Resources Extraction","Food Web (D4)","WP","C","C",0.08978
