"sector","pressure","ecoChar","overlap","frequency","DoI","confidence","comments","Overlap.Score","Frequency.Score","DoI.Score","Impact.Risk.Score","IR.relative.contribution"
"passive pelagic","Abrasion","Cephalopods","NO",NA,NA,NA,NA,0,0,0,0,0
"passive pelagic","Abrasion","Food Web (D4)","NO",NA,NA,NA,NA,0,0,0,0,0
"passive demersal","Abrasion","Benthic Habitat (& assoc. biota): VMEs","S","P","A",NA,"incomplete information on VME habitat => potential fishing. Could be NO, E or S ?, also reports (ie NEAFC) of incursions",0.03,1,1,0.03,0.297057496963825
"passive demersal","Abrasion","Benthic Habitat (& assoc. biota): non-VMEs","L","P","L",NA,NA,0.33,1,0.05,0.0165,0.163381623330104
"passive demersal","Abrasion","Fish","L","P","L",NA,NA,0.33,1,0.05,0.0165,0.163381623330104
"passive demersal","Abrasion","Elasmobranchs","L","P","L",NA,NA,0.33,1,0.05,0.0165,0.163381623330104
"passive demersal","Abrasion","Cephalopods","L","P","L",NA,NA,0.33,1,0.05,0.0165,0.163381623330104
"passive demersal","Abrasion","Food Web (D4)","L","P","L",NA,NA,0.33,1,0.05,0.0165,0.163381623330104
"Small vessels - pelagic trawlers","Abrasion","Benthic Habitat (& assoc. biota): VMEs","E","P","L",NA,NA,0.01,1,0.05,5e-04,0.00495095828273042
"Small vessels - pelagic trawlers","Abrasion","Benthic Habitat (& assoc. biota): non-VMEs","E","P","L",NA,NA,0.01,1,0.05,5e-04,0.00495095828273042
"Small vessels - pelagic trawlers","Abrasion","Fish","E","P","L",NA,NA,0.01,1,0.05,5e-04,0.00495095828273042
"Small vessels - pelagic trawlers","Abrasion","Elasmobranchs","E","P","L",NA,NA,0.01,1,0.05,5e-04,0.00495095828273042
"Small vessels - pelagic trawlers","Abrasion","Cephalopods","E","P","L",NA,NA,0.01,1,0.05,5e-04,0.00495095828273042
"Small vessels - pelagic trawlers","Abrasion","Food Web (D4)","E","P","L",NA,NA,0.01,1,0.05,5e-04,0.00495095828273042
"Small vessels - active demersal","Abrasion","Benthic Habitat (& assoc. biota): VMEs","S","P","A",NA,"incomplete information on VME habitat => potential fishing. Could be NO, E or S ?, also reports (ie NEAFC) of incursions",0.03,1,1,0.03,0.297057496963825
"Small vessels - active demersal","Abrasion","Benthic Habitat (& assoc. biota): non-VMEs","L","P","C",NA,NA,0.33,1,0.2,0.066,0.653526493320415
"Small vessels - active demersal","Abrasion","Fish","L","P","L",NA,NA,0.33,1,0.05,0.0165,0.163381623330104
"Small vessels - active demersal","Abrasion","Elasmobranchs","L","P","L",NA,NA,0.33,1,0.05,0.0165,0.163381623330104
"Small vessels - active demersal","Abrasion","Cephalopods","L","P","L",NA,NA,0.33,1,0.05,0.0165,0.163381623330104
"Small vessels - active demersal","Abrasion","Food Web (D4)","L","P","C",NA,NA,0.33,1,0.2,0.066,0.653526493320415
"Large vessels - pelagic trawlers","Abrasion","Benthic Habitat (& assoc. biota): VMEs","S","R","A",NA,"incomplete information on VME habitat => potential fishing. Could be NO, E or S ?, also reports (ie NEAFC) of incursions",0.03,0.08,1,0.0024,0.023764599757106
"Large vessels - pelagic trawlers","Abrasion","Benthic Habitat (& assoc. biota): non-VMEs","S","R","C",NA,"S instead of E for overlap: abrasion doesn't disperse. Impact is low, S is the lowest direct overlap score that can be used.",0.03,0.08,0.2,0.00048,0.0047529199514212
"Large vessels - pelagic trawlers","Abrasion","Fish","S","R","L",NA,"R instead of P for Frequency? Abrasion only happens by accident in pelagic trawling, so not persistent",0.03,0.08,0.05,0.00012,0.0011882299878553
"Large vessels - pelagic trawlers","Abrasion","Elasmobranchs","S","R","L",NA,NA,0.03,0.08,0.05,0.00012,0.0011882299878553
"Large vessels - pelagic trawlers","Abrasion","Cephalopods","S","R","L",NA,NA,0.03,0.08,0.05,0.00012,0.0011882299878553
"Large vessels - pelagic trawlers","Abrasion","Food Web (D4)","S","R","C",NA,NA,0.03,0.08,0.2,0.00048,0.0047529199514212
"Large vessels - active demersal","Abrasion","Benthic Habitat (& assoc. biota): VMEs","S","P","A",3,"incomplete information on VME habitat => potential fishing. Could be NO, E or S ?, also reports (ie NEAFC) of incursions",0.03,1,1,0.03,0.297057496963825
"Large vessels - active demersal","Abrasion","Benthic Habitat (& assoc. biota): non-VMEs","WP","P","C",NA,NA,0.67,1,0.2,0.134,1.32685681977175
"Large vessels - active demersal","Abrasion","Fish","WP","P","C",NA,"C for DoI? Could affect spawning of fish (e.g. herring) or damage habitats (e.g. flatfish)",0.67,1,0.2,0.134,1.32685681977175
"Large vessels - active demersal","Abrasion","Elasmobranchs","WP","P","L",NA,NA,0.67,1,0.05,0.0335,0.331714204942938
"Large vessels - active demersal","Abrasion","Cephalopods","WP","P","L",NA,NA,0.67,1,0.05,0.0335,0.331714204942938
"Large vessels - active demersal","Abrasion","Food Web (D4)","WP","P","C",NA,NA,0.67,1,0.2,0.134,1.32685681977175
"passive pelagic","Noise","Pelagic Habitats (& assoc. biota)","S","O","L",NA,NA,0.03,0.33,0.05,0.000495,0.00490144869990311
"passive pelagic","Noise","Marine Mammals","S","O","L",NA,NA,0.03,0.33,0.05,0.000495,0.00490144869990311
"passive pelagic","Noise","Fish","S","O","L",NA,NA,0.03,0.33,0.05,0.000495,0.00490144869990311
"passive pelagic","Noise","Elasmobranchs","S","O","L",NA,NA,0.03,0.33,0.05,0.000495,0.00490144869990311
"passive pelagic","Noise","Reptiles","S","O","L",NA,NA,0.03,0.33,0.05,0.000495,0.00490144869990311
"passive pelagic","Noise","Seabirds","S","O","L",NA,NA,0.03,0.33,0.05,0.000495,0.00490144869990311
"passive pelagic","Noise","Cephalopods","S","O","L",NA,NA,0.03,0.33,0.05,0.000495,0.00490144869990311
"passive pelagic","Noise","Food Web (D4)","S","O","L",NA,NA,0.03,0.33,0.05,0.000495,0.00490144869990311
"passive demersal","Noise","Pelagic Habitats (& assoc. biota)","S","O","L",NA,NA,0.03,0.33,0.05,0.000495,0.00490144869990311
"passive demersal","Noise","Marine Mammals","S","O","L",NA,NA,0.03,0.33,0.05,0.000495,0.00490144869990311
"passive demersal","Noise","Fish","S","O","L",NA,NA,0.03,0.33,0.05,0.000495,0.00490144869990311
"passive demersal","Noise","Elasmobranchs","S","O","L",NA,NA,0.03,0.33,0.05,0.000495,0.00490144869990311
"passive demersal","Noise","Reptiles","S","O","L",NA,NA,0.03,0.33,0.05,0.000495,0.00490144869990311
"passive demersal","Noise","Seabirds","S","O","L",NA,NA,0.03,0.33,0.05,0.000495,0.00490144869990311
"passive demersal","Noise","Cephalopods","S","O","L",NA,NA,0.03,0.33,0.05,0.000495,0.00490144869990311
"passive demersal","Noise","Food Web (D4)","S","O","L",NA,NA,0.03,0.33,0.05,0.000495,0.00490144869990311
"Small vessels - pelagic trawlers","Noise","Pelagic Habitats (& assoc. biota)","L","C","L",NA,NA,0.33,0.67,0.05,0.011055,0.10946568763117
"Small vessels - pelagic trawlers","Noise","Marine Mammals","L","C","L",NA,NA,0.33,0.67,0.05,0.011055,0.10946568763117
"Small vessels - pelagic trawlers","Noise","Fish","L","C","L",NA,NA,0.33,0.67,0.05,0.011055,0.10946568763117
"Small vessels - pelagic trawlers","Noise","Elasmobranchs","L","C","L",NA,NA,0.33,0.67,0.05,0.011055,0.10946568763117
"Small vessels - pelagic trawlers","Noise","Reptiles","L","C","L",NA,NA,0.33,0.67,0.05,0.011055,0.10946568763117
"Small vessels - pelagic trawlers","Noise","Seabirds","L","C","L",NA,NA,0.33,0.67,0.05,0.011055,0.10946568763117
"Small vessels - pelagic trawlers","Noise","Cephalopods","L","C","L",NA,NA,0.33,0.67,0.05,0.011055,0.10946568763117
"Small vessels - pelagic trawlers","Noise","Food Web (D4)","L","C","L",NA,NA,0.33,0.67,0.05,0.011055,0.10946568763117
"Small vessels - active demersal","Noise","Pelagic Habitats (& assoc. biota)","L","P","L",NA,"P? When the vessels are operating there will be noise (if abrasion is P, then so should noise)",0.33,1,0.05,0.0165,0.163381623330104
"Small vessels - active demersal","Noise","Marine Mammals","L","P","L",NA,"P?",0.33,1,0.05,0.0165,0.163381623330104
"Small vessels - active demersal","Noise","Fish","L","P","L",NA,"P?",0.33,1,0.05,0.0165,0.163381623330104
"Small vessels - active demersal","Noise","Elasmobranchs","L","P","L",NA,"P?",0.33,1,0.05,0.0165,0.163381623330104
"Small vessels - active demersal","Noise","Reptiles","L","P","L",NA,"P?",0.33,1,0.05,0.0165,0.163381623330104
"Small vessels - active demersal","Noise","Seabirds","L","P","L",NA,"P?",0.33,1,0.05,0.0165,0.163381623330104
"Small vessels - active demersal","Noise","Cephalopods","L","P","L",NA,"P?",0.33,1,0.05,0.0165,0.163381623330104
"Small vessels - active demersal","Noise","Food Web (D4)","L","P","L",NA,"P?",0.33,1,0.05,0.0165,0.163381623330104
"Large vessels - pelagic trawlers","Noise","Pelagic Habitats (& assoc. biota)","L","P","L",NA,NA,0.33,1,0.05,0.0165,0.163381623330104
"Large vessels - pelagic trawlers","Noise","Marine Mammals","L","P","L",NA,NA,0.33,1,0.05,0.0165,0.163381623330104
"Large vessels - pelagic trawlers","Noise","Fish","L","P","L",NA,NA,0.33,1,0.05,0.0165,0.163381623330104
"Large vessels - pelagic trawlers","Noise","Elasmobranchs","L","P","L",NA,NA,0.33,1,0.05,0.0165,0.163381623330104
"Large vessels - pelagic trawlers","Noise","Reptiles","L","P","L",NA,NA,0.33,1,0.05,0.0165,0.163381623330104
"Large vessels - pelagic trawlers","Noise","Seabirds","L","P","L",NA,NA,0.33,1,0.05,0.0165,0.163381623330104
"Large vessels - pelagic trawlers","Noise","Cephalopods","L","P","L",NA,NA,0.33,1,0.05,0.0165,0.163381623330104
"Large vessels - pelagic trawlers","Noise","Food Web (D4)","L","P","L",NA,NA,0.33,1,0.05,0.0165,0.163381623330104
"Large vessels - active demersal","Noise","Pelagic Habitats (& assoc. biota)","L","P","L",NA,NA,0.33,1,0.05,0.0165,0.163381623330104
"Large vessels - active demersal","Noise","Marine Mammals","L","P","C",NA,NA,0.33,1,0.2,0.066,0.653526493320415
"Large vessels - active demersal","Noise","Fish","L","P","C",NA,NA,0.33,1,0.2,0.066,0.653526493320415
"Large vessels - active demersal","Noise","Elasmobranchs","L","P","C",NA,NA,0.33,1,0.2,0.066,0.653526493320415
"Large vessels - active demersal","Noise","Reptiles","L","P","C",NA,NA,0.33,1,0.2,0.066,0.653526493320415
"Large vessels - active demersal","Noise","Seabirds","L","P","L",NA,NA,0.33,1,0.05,0.0165,0.163381623330104
"Large vessels - active demersal","Noise","Cephalopods","L","P","C",NA,NA,0.33,1,0.2,0.066,0.653526493320415
"Large vessels - active demersal","Noise","Food Web (D4)","L","P","C",NA,NA,0.33,1,0.2,0.066,0.653526493320415
"Large vessels - reduction fisheries","Noise","Pelagic Habitats (& assoc. biota)","L","O","L",NA,NA,0.33,0.33,0.05,0.005445,0.0539159356989343
"Large vessels - reduction fisheries","Noise","Marine Mammals","L","O","L",NA,NA,0.33,0.33,0.05,0.005445,0.0539159356989343
"Large vessels - reduction fisheries","Noise","Fish","L","O","L",NA,NA,0.33,0.33,0.05,0.005445,0.0539159356989343
"Large vessels - reduction fisheries","Noise","Elasmobranchs","L","O","L",NA,NA,0.33,0.33,0.05,0.005445,0.0539159356989343
"Large vessels - reduction fisheries","Noise","Reptiles","L","O","L",NA,NA,0.33,0.33,0.05,0.005445,0.0539159356989343
"Large vessels - reduction fisheries","Noise","Seabirds","L","O","L",NA,NA,0.33,0.33,0.05,0.005445,0.0539159356989343
"Large vessels - reduction fisheries","Noise","Cephalopods","L","O","L",NA,NA,0.33,0.33,0.05,0.005445,0.0539159356989343
"Large vessels - reduction fisheries","Noise","Food Web (D4)","L","O","L",NA,NA,0.33,0.33,0.05,0.005445,0.0539159356989343
"passive pelagic","Marine Litter","Benthic Habitat (& assoc. biota): VMEs","L","R","L",NA,NA,0.33,0.08,0.05,0.00132,0.0130705298664083
"passive pelagic","Marine Litter","Benthic Habitat (& assoc. biota): non-VMEs","L","R","L",NA,NA,0.33,0.08,0.05,0.00132,0.0130705298664083
"passive pelagic","Marine Litter","Pelagic Habitats (& assoc. biota)","L","R","L",NA,NA,0.33,0.08,0.05,0.00132,0.0130705298664083
"passive pelagic","Marine Litter","Marine Mammals","L","R","L",NA,NA,0.33,0.08,0.05,0.00132,0.0130705298664083
"passive pelagic","Marine Litter","Fish","L","R","L",NA,NA,0.33,0.08,0.05,0.00132,0.0130705298664083
"passive pelagic","Marine Litter","Elasmobranchs","L","R","L",NA,NA,0.33,0.08,0.05,0.00132,0.0130705298664083
"passive pelagic","Marine Litter","Reptiles","L","R","L",NA,NA,0.33,0.08,0.05,0.00132,0.0130705298664083
"passive pelagic","Marine Litter","Seabirds","L","R","L",NA,NA,0.33,0.08,0.05,0.00132,0.0130705298664083
"passive pelagic","Marine Litter","Cephalopods","L","R","L",NA,NA,0.33,0.08,0.05,0.00132,0.0130705298664083
"passive pelagic","Marine Litter","Food Web (D4)","L","R","L",NA,NA,0.33,0.08,0.05,0.00132,0.0130705298664083
"passive demersal","Marine Litter","Benthic Habitat (& assoc. biota): VMEs","L","O","L",NA,"ghost fishing from lost passive nets",0.33,0.33,0.05,0.005445,0.0539159356989343
"passive demersal","Marine Litter","Benthic Habitat (& assoc. biota): non-VMEs","L","O","L",NA,NA,0.33,0.33,0.05,0.005445,0.0539159356989343
"passive demersal","Marine Litter","Pelagic Habitats (& assoc. biota)","L","O","L",NA,NA,0.33,0.33,0.05,0.005445,0.0539159356989343
"passive demersal","Marine Litter","Marine Mammals","L","O","L",NA,NA,0.33,0.33,0.05,0.005445,0.0539159356989343
"passive demersal","Marine Litter","Fish","L","O","L",NA,NA,0.33,0.33,0.05,0.005445,0.0539159356989343
"passive demersal","Marine Litter","Elasmobranchs","L","O","L",NA,NA,0.33,0.33,0.05,0.005445,0.0539159356989343
"passive demersal","Marine Litter","Reptiles","L","O","L",NA,NA,0.33,0.33,0.05,0.005445,0.0539159356989343
"passive demersal","Marine Litter","Seabirds","L","O","L",NA,NA,0.33,0.33,0.05,0.005445,0.0539159356989343
"passive demersal","Marine Litter","Cephalopods","L","O","L",NA,NA,0.33,0.33,0.05,0.005445,0.0539159356989343
"passive demersal","Marine Litter","Food Web (D4)","L","O","L",NA,NA,0.33,0.33,0.05,0.005445,0.0539159356989343
"Small vessels - pelagic trawlers","Marine Litter","Benthic Habitat (& assoc. biota): VMEs","WP","R","L",NA,NA,0.67,0.08,0.05,0.00268,0.026537136395435
"Small vessels - pelagic trawlers","Marine Litter","Benthic Habitat (& assoc. biota): non-VMEs","WP","R","L",NA,NA,0.67,0.08,0.05,0.00268,0.026537136395435
"Small vessels - pelagic trawlers","Marine Litter","Pelagic Habitats (& assoc. biota)","WP","R","L",NA,NA,0.67,0.08,0.05,0.00268,0.026537136395435
"Small vessels - pelagic trawlers","Marine Litter","Marine Mammals","WP","R","L",NA,NA,0.67,0.08,0.05,0.00268,0.026537136395435
"Small vessels - pelagic trawlers","Marine Litter","Fish","WP","R","L",NA,NA,0.67,0.08,0.05,0.00268,0.026537136395435
"Small vessels - pelagic trawlers","Marine Litter","Elasmobranchs","WP","R","L",NA,NA,0.67,0.08,0.05,0.00268,0.026537136395435
"Small vessels - pelagic trawlers","Marine Litter","Reptiles","WP","R","L",NA,NA,0.67,0.08,0.05,0.00268,0.026537136395435
"Small vessels - pelagic trawlers","Marine Litter","Seabirds","WP","R","L",NA,NA,0.67,0.08,0.05,0.00268,0.026537136395435
"Small vessels - pelagic trawlers","Marine Litter","Cephalopods","WP","R","L",NA,NA,0.67,0.08,0.05,0.00268,0.026537136395435
"Small vessels - pelagic trawlers","Marine Litter","Food Web (D4)","WP","R","L",NA,NA,0.67,0.08,0.05,0.00268,0.026537136395435
"Small vessels - active demersal","Marine Litter","Benthic Habitat (& assoc. biota): VMEs","WP","R","L",NA,NA,0.67,0.08,0.05,0.00268,0.026537136395435
"Small vessels - active demersal","Marine Litter","Benthic Habitat (& assoc. biota): non-VMEs","WP","R","L",NA,NA,0.67,0.08,0.05,0.00268,0.026537136395435
"Small vessels - active demersal","Marine Litter","Pelagic Habitats (& assoc. biota)","WP","R","L",NA,NA,0.67,0.08,0.05,0.00268,0.026537136395435
"Small vessels - active demersal","Marine Litter","Marine Mammals","WP","R","L",NA,NA,0.67,0.08,0.05,0.00268,0.026537136395435
"Small vessels - active demersal","Marine Litter","Fish","WP","R","L",NA,NA,0.67,0.08,0.05,0.00268,0.026537136395435
"Small vessels - active demersal","Marine Litter","Elasmobranchs","WP","R","L",NA,NA,0.67,0.08,0.05,0.00268,0.026537136395435
"Small vessels - active demersal","Marine Litter","Reptiles","WP","R","L",NA,NA,0.67,0.08,0.05,0.00268,0.026537136395435
"Small vessels - active demersal","Marine Litter","Seabirds","WP","R","L",NA,NA,0.67,0.08,0.05,0.00268,0.026537136395435
"Small vessels - active demersal","Marine Litter","Cephalopods","WP","R","L",NA,NA,0.67,0.08,0.05,0.00268,0.026537136395435
"Small vessels - active demersal","Marine Litter","Food Web (D4)","WP","R","L",NA,NA,0.67,0.08,0.05,0.00268,0.026537136395435
"Large vessels - pelagic trawlers","Marine Litter","Benthic Habitat (& assoc. biota): VMEs","WP","R","L",NA,NA,0.67,0.08,0.05,0.00268,0.026537136395435
"Large vessels - pelagic trawlers","Marine Litter","Benthic Habitat (& assoc. biota): non-VMEs","WP","R","L",NA,NA,0.67,0.08,0.05,0.00268,0.026537136395435
"Large vessels - pelagic trawlers","Marine Litter","Pelagic Habitats (& assoc. biota)","WP","R","L",NA,NA,0.67,0.08,0.05,0.00268,0.026537136395435
"Large vessels - pelagic trawlers","Marine Litter","Marine Mammals","WP","R","L",NA,NA,0.67,0.08,0.05,0.00268,0.026537136395435
"Large vessels - pelagic trawlers","Marine Litter","Fish","WP","R","L",NA,NA,0.67,0.08,0.05,0.00268,0.026537136395435
"Large vessels - pelagic trawlers","Marine Litter","Elasmobranchs","WP","R","L",NA,NA,0.67,0.08,0.05,0.00268,0.026537136395435
"Large vessels - pelagic trawlers","Marine Litter","Reptiles","WP","R","L",NA,NA,0.67,0.08,0.05,0.00268,0.026537136395435
"Large vessels - pelagic trawlers","Marine Litter","Seabirds","WP","R","L",NA,NA,0.67,0.08,0.05,0.00268,0.026537136395435
"Large vessels - pelagic trawlers","Marine Litter","Cephalopods","WP","R","L",NA,NA,0.67,0.08,0.05,0.00268,0.026537136395435
"Large vessels - pelagic trawlers","Marine Litter","Food Web (D4)","WP","R","L",NA,NA,0.67,0.08,0.05,0.00268,0.026537136395435
"Large vessels - active demersal","Marine Litter","Benthic Habitat (& assoc. biota): VMEs","WP","R","L",NA,NA,0.67,0.08,0.05,0.00268,0.026537136395435
"Large vessels - active demersal","Marine Litter","Benthic Habitat (& assoc. biota): non-VMEs","WP","R","L",NA,NA,0.67,0.08,0.05,0.00268,0.026537136395435
"Large vessels - active demersal","Marine Litter","Pelagic Habitats (& assoc. biota)","WP","R","L",NA,NA,0.67,0.08,0.05,0.00268,0.026537136395435
"Large vessels - active demersal","Marine Litter","Marine Mammals","WP","R","L",NA,NA,0.67,0.08,0.05,0.00268,0.026537136395435
"Large vessels - active demersal","Marine Litter","Fish","WP","R","L",NA,NA,0.67,0.08,0.05,0.00268,0.026537136395435
"Large vessels - active demersal","Marine Litter","Elasmobranchs","WP","R","L",NA,NA,0.67,0.08,0.05,0.00268,0.026537136395435
"Large vessels - active demersal","Marine Litter","Reptiles","WP","R","L",NA,NA,0.67,0.08,0.05,0.00268,0.026537136395435
"Large vessels - active demersal","Marine Litter","Seabirds","WP","R","L",NA,NA,0.67,0.08,0.05,0.00268,0.026537136395435
"Large vessels - active demersal","Marine Litter","Cephalopods","WP","R","L",NA,NA,0.67,0.08,0.05,0.00268,0.026537136395435
"Large vessels - active demersal","Marine Litter","Food Web (D4)","WP","R","L",NA,NA,0.67,0.08,0.05,0.00268,0.026537136395435
"Large vessels - reduction fisheries","Marine Litter","Benthic Habitat (& assoc. biota): VMEs","WP","R","L",NA,NA,0.67,0.08,0.05,0.00268,0.026537136395435
"Large vessels - reduction fisheries","Marine Litter","Benthic Habitat (& assoc. biota): non-VMEs","WP","R","L",NA,NA,0.67,0.08,0.05,0.00268,0.026537136395435
"Large vessels - reduction fisheries","Marine Litter","Pelagic Habitats (& assoc. biota)","WP","R","L",NA,NA,0.67,0.08,0.05,0.00268,0.026537136395435
"Large vessels - reduction fisheries","Marine Litter","Marine Mammals","WP","R","L",NA,NA,0.67,0.08,0.05,0.00268,0.026537136395435
"Large vessels - reduction fisheries","Marine Litter","Fish","WP","R","L",NA,NA,0.67,0.08,0.05,0.00268,0.026537136395435
"Large vessels - reduction fisheries","Marine Litter","Elasmobranchs","WP","R","L",NA,NA,0.67,0.08,0.05,0.00268,0.026537136395435
"Large vessels - reduction fisheries","Marine Litter","Reptiles","WP","R","L",NA,NA,0.67,0.08,0.05,0.00268,0.026537136395435
"Large vessels - reduction fisheries","Marine Litter","Seabirds","WP","R","L",NA,NA,0.67,0.08,0.05,0.00268,0.026537136395435
"Large vessels - reduction fisheries","Marine Litter","Cephalopods","WP","R","L",NA,NA,0.67,0.08,0.05,0.00268,0.026537136395435
"Large vessels - reduction fisheries","Marine Litter","Food Web (D4)","WP","R","L",NA,NA,0.67,0.08,0.05,0.00268,0.026537136395435
"passive pelagic","Introduction of Contaminating compounds","Benthic Habitat (& assoc. biota): VMEs","S","R","C",NA,NA,0.03,0.08,0.2,0.00048,0.0047529199514212
"passive pelagic","Introduction of Contaminating compounds","Benthic Habitat (& assoc. biota): non-VMEs","S","R","C",NA,NA,0.03,0.08,0.2,0.00048,0.0047529199514212
"passive pelagic","Introduction of Contaminating compounds","Pelagic Habitats (& assoc. biota)","S","R","C",NA,NA,0.03,0.08,0.2,0.00048,0.0047529199514212
"passive pelagic","Introduction of Contaminating compounds","Marine Mammals","S","R","C",NA,NA,0.03,0.08,0.2,0.00048,0.0047529199514212
"passive pelagic","Introduction of Contaminating compounds","Fish","S","R","C",NA,NA,0.03,0.08,0.2,0.00048,0.0047529199514212
"passive pelagic","Introduction of Contaminating compounds","Elasmobranchs","S","R","C",NA,NA,0.03,0.08,0.2,0.00048,0.0047529199514212
"passive pelagic","Introduction of Contaminating compounds","Reptiles","S","R","C",NA,NA,0.03,0.08,0.2,0.00048,0.0047529199514212
"passive pelagic","Introduction of Contaminating compounds","Seabirds","S","R","C",NA,NA,0.03,0.08,0.2,0.00048,0.0047529199514212
"passive pelagic","Introduction of Contaminating compounds","Cephalopods","S","R","C",NA,NA,0.03,0.08,0.2,0.00048,0.0047529199514212
"passive pelagic","Introduction of Contaminating compounds","Food Web (D4)","S","R","C",NA,NA,0.03,0.08,0.2,0.00048,0.0047529199514212
"passive demersal","Introduction of Contaminating compounds","Benthic Habitat (& assoc. biota): VMEs","S","R","C",NA,NA,0.03,0.08,0.2,0.00048,0.0047529199514212
"passive demersal","Introduction of Contaminating compounds","Benthic Habitat (& assoc. biota): non-VMEs","S","R","C",NA,NA,0.03,0.08,0.2,0.00048,0.0047529199514212
"passive demersal","Introduction of Contaminating compounds","Pelagic Habitats (& assoc. biota)","S","R","C",NA,NA,0.03,0.08,0.2,0.00048,0.0047529199514212
"passive demersal","Introduction of Contaminating compounds","Marine Mammals","S","R","C",NA,NA,0.03,0.08,0.2,0.00048,0.0047529199514212
"passive demersal","Introduction of Contaminating compounds","Fish","S","R","C",NA,NA,0.03,0.08,0.2,0.00048,0.0047529199514212
"passive demersal","Introduction of Contaminating compounds","Elasmobranchs","S","R","C",NA,NA,0.03,0.08,0.2,0.00048,0.0047529199514212
"passive demersal","Introduction of Contaminating compounds","Reptiles","S","R","C",NA,NA,0.03,0.08,0.2,0.00048,0.0047529199514212
"passive demersal","Introduction of Contaminating compounds","Seabirds","S","R","C",NA,NA,0.03,0.08,0.2,0.00048,0.0047529199514212
"passive demersal","Introduction of Contaminating compounds","Cephalopods","S","R","C",NA,NA,0.03,0.08,0.2,0.00048,0.0047529199514212
"passive demersal","Introduction of Contaminating compounds","Food Web (D4)","S","R","C",NA,NA,0.03,0.08,0.2,0.00048,0.0047529199514212
"Small vessels - pelagic trawlers","Introduction of Contaminating compounds","Benthic Habitat (& assoc. biota): VMEs","S","R","C",NA,NA,0.03,0.08,0.2,0.00048,0.0047529199514212
"Small vessels - pelagic trawlers","Introduction of Contaminating compounds","Benthic Habitat (& assoc. biota): non-VMEs","S","R","C",NA,NA,0.03,0.08,0.2,0.00048,0.0047529199514212
"Small vessels - pelagic trawlers","Introduction of Contaminating compounds","Pelagic Habitats (& assoc. biota)","S","R","C",NA,NA,0.03,0.08,0.2,0.00048,0.0047529199514212
"Small vessels - pelagic trawlers","Introduction of Contaminating compounds","Marine Mammals","S","R","C",NA,NA,0.03,0.08,0.2,0.00048,0.0047529199514212
"Small vessels - pelagic trawlers","Introduction of Contaminating compounds","Fish","S","R","C",NA,NA,0.03,0.08,0.2,0.00048,0.0047529199514212
"Small vessels - pelagic trawlers","Introduction of Contaminating compounds","Elasmobranchs","S","R","C",NA,NA,0.03,0.08,0.2,0.00048,0.0047529199514212
"Small vessels - pelagic trawlers","Introduction of Contaminating compounds","Reptiles","S","R","C",NA,NA,0.03,0.08,0.2,0.00048,0.0047529199514212
"Small vessels - pelagic trawlers","Introduction of Contaminating compounds","Seabirds","S","R","C",NA,NA,0.03,0.08,0.2,0.00048,0.0047529199514212
