"sector","pressure","ecoChar","overlap","frequency","DoI","confidence","comments","Overlap.Score","Frequency.Score","DoI.Score","Impact.Risk.Score","IR.relative.contribution"
"Large vessels - active demersal","Abrasion","Cephalopods","WP","P","C",1,NA,0.67,1,0.2,0.134,1.23429725193849
"Large vessels - active demersal","Abrasion","Food Web (D4)","NO",NA,NA,1,NA,0,0,0,0,0
"passive pelagic","Noise","Pelagic Habitats (& assoc. biota)","S","C","L",1,NA,0.03,0.67,0.05,0.001005,0.0092572293895387
"passive pelagic","Noise","Marine Mammals","S","C","C",2,NA,0.03,0.67,0.2,0.00402,0.0370289175581548
"passive pelagic","Noise","Fish","S","C","L",1,NA,0.03,0.67,0.05,0.001005,0.0092572293895387
"passive pelagic","Noise","Elasmobranchs","S","C","L",1,NA,0.03,0.67,0.05,0.001005,0.0092572293895387
"passive pelagic","Noise","Reptiles","S","C","L",1,NA,0.03,0.67,0.05,0.001005,0.0092572293895387
"passive pelagic","Noise","Seabirds","NO",NA,NA,1,NA,0,0,0,0,0
"passive pelagic","Noise","Cephalopods","S","C","L",1,NA,0.03,0.67,0.05,0.001005,0.0092572293895387
"passive pelagic","Noise","Food Web (D4)","NO",NA,NA,1,NA,0,0,0,0,0
"passive demersal","Noise","Pelagic Habitats (& assoc. biota)","S","C","L",1,NA,0.03,0.67,0.05,0.001005,0.0092572293895387
"passive demersal","Noise","Marine Mammals","S","C","C",2,NA,0.03,0.67,0.2,0.00402,0.0370289175581548
"passive demersal","Noise","Fish","S","C","L",1,NA,0.03,0.67,0.05,0.001005,0.0092572293895387
"passive demersal","Noise","Elasmobranchs","S","C","L",1,NA,0.03,0.67,0.05,0.001005,0.0092572293895387
"passive demersal","Noise","Reptiles","S","C","L",1,NA,0.03,0.67,0.05,0.001005,0.0092572293895387
"passive demersal","Noise","Seabirds","NO",NA,NA,1,NA,0,0,0,0,0
"passive demersal","Noise","Cephalopods","S","C","L",1,NA,0.03,0.67,0.05,0.001005,0.0092572293895387
"passive demersal","Noise","Food Web (D4)","NO",NA,NA,1,NA,0,0,0,0,0
"Small vessels - pelagic trawlers","Noise","Pelagic Habitats (& assoc. biota)","NO",NA,NA,1,NA,0,0,0,0,0
"Small vessels - pelagic trawlers","Noise","Marine Mammals","S","C","C",2,NA,0.03,0.67,0.2,0.00402,0.0370289175581548
"Small vessels - pelagic trawlers","Noise","Fish","S","C","L",1,NA,0.03,0.67,0.05,0.001005,0.0092572293895387
"Small vessels - pelagic trawlers","Noise","Elasmobranchs","S","C","L",1,NA,0.03,0.67,0.05,0.001005,0.0092572293895387
"Small vessels - pelagic trawlers","Noise","Reptiles","S","C","L",1,NA,0.03,0.67,0.05,0.001005,0.0092572293895387
"Small vessels - pelagic trawlers","Noise","Seabirds","S","C","L",1,NA,0.03,0.67,0.05,0.001005,0.0092572293895387
"Small vessels - pelagic trawlers","Noise","Cephalopods","S","C","L",1,NA,0.03,0.67,0.05,0.001005,0.0092572293895387
"Small vessels - pelagic trawlers","Noise","Food Web (D4)","NO",NA,NA,1,NA,0,0,0,0,0
"Small vessels - active demersal","Noise","Pelagic Habitats (& assoc. biota)","NO",NA,NA,1,NA,0,0,0,0,0
"Small vessels - active demersal","Noise","Marine Mammals","S","C","C",2,NA,0.03,0.67,0.2,0.00402,0.0370289175581548
"Small vessels - active demersal","Noise","Fish","S","C","L",1,NA,0.03,0.67,0.05,0.001005,0.0092572293895387
"Small vessels - active demersal","Noise","Elasmobranchs","S","C","L",1,NA,0.03,0.67,0.05,0.001005,0.0092572293895387
"Small vessels - active demersal","Noise","Reptiles","S","C","L",1,NA,0.03,0.67,0.05,0.001005,0.0092572293895387
"Small vessels - active demersal","Noise","Seabirds","S","C","L",1,NA,0.03,0.67,0.05,0.001005,0.0092572293895387
"Small vessels - active demersal","Noise","Cephalopods","S","C","L",1,NA,0.03,0.67,0.05,0.001005,0.0092572293895387
"Small vessels - active demersal","Noise","Food Web (D4)","NO",NA,NA,1,NA,0,0,0,0,0
"Large vessels - pelagic trawlers","Noise","Pelagic Habitats (& assoc. biota)","NO",NA,NA,1,NA,0,0,0,0,0
"Large vessels - pelagic trawlers","Noise","Marine Mammals","S","C","C",2,NA,0.03,0.67,0.2,0.00402,0.0370289175581548
"Large vessels - pelagic trawlers","Noise","Fish","S","C","L",1,NA,0.03,0.67,0.05,0.001005,0.0092572293895387
"Large vessels - pelagic trawlers","Noise","Elasmobranchs","S","C","L",1,NA,0.03,0.67,0.05,0.001005,0.0092572293895387
"Large vessels - pelagic trawlers","Noise","Reptiles","S","C","L",1,NA,0.03,0.67,0.05,0.001005,0.0092572293895387
"Large vessels - pelagic trawlers","Noise","Seabirds","S","C","L",1,NA,0.03,0.67,0.05,0.001005,0.0092572293895387
"Large vessels - pelagic trawlers","Noise","Cephalopods","S","C","L",1,NA,0.03,0.67,0.05,0.001005,0.0092572293895387
"Large vessels - pelagic trawlers","Noise","Food Web (D4)","NO",NA,NA,1,NA,0,0,0,0,0
"Large vessels - active demersal","Noise","Pelagic Habitats (& assoc. biota)","NO",NA,NA,1,NA,0,0,0,0,0
"Large vessels - active demersal","Noise","Marine Mammals","S","C","C",2,NA,0.03,0.67,0.2,0.00402,0.0370289175581548
"Large vessels - active demersal","Noise","Fish","S","C","C",1,NA,0.03,0.67,0.2,0.00402,0.0370289175581548
"Large vessels - active demersal","Noise","Elasmobranchs","S","C","C",1,NA,0.03,0.67,0.2,0.00402,0.0370289175581548
"Large vessels - active demersal","Noise","Reptiles","S","C","C",1,NA,0.03,0.67,0.2,0.00402,0.0370289175581548
"Large vessels - active demersal","Noise","Seabirds","S","C","C",1,NA,0.03,0.67,0.2,0.00402,0.0370289175581548
"Large vessels - active demersal","Noise","Cephalopods","S","C","C",1,NA,0.03,0.67,0.2,0.00402,0.0370289175581548
"Large vessels - active demersal","Noise","Food Web (D4)","NO",NA,NA,1,NA,0,0,0,0,0
"Large vessels - reduction fisheries","Noise","Pelagic Habitats (& assoc. biota)","S","C","L",1,NA,0.03,0.67,0.05,0.001005,0.0092572293895387
"Large vessels - reduction fisheries","Noise","Marine Mammals","S","C","C",2,NA,0.03,0.67,0.2,0.00402,0.0370289175581548
"Large vessels - reduction fisheries","Noise","Fish","S","C","L",1,NA,0.03,0.67,0.05,0.001005,0.0092572293895387
"Large vessels - reduction fisheries","Noise","Elasmobranchs","S","C","L",1,NA,0.03,0.67,0.05,0.001005,0.0092572293895387
"Large vessels - reduction fisheries","Noise","Reptiles","S","C","L",1,NA,0.03,0.67,0.05,0.001005,0.0092572293895387
"Large vessels - reduction fisheries","Noise","Seabirds","S","C","L",1,NA,0.03,0.67,0.05,0.001005,0.0092572293895387
"Large vessels - reduction fisheries","Noise","Cephalopods","S","C","L",1,NA,0.03,0.67,0.05,0.001005,0.0092572293895387
"Large vessels - reduction fisheries","Noise","Food Web (D4)","NO",NA,NA,1,NA,0,0,0,0,0
"passive pelagic","Marine Litter","Benthic Habitat (& assoc. biota): VMEs","E","O","C",1,NA,0.01,0.33,0.2,0.00066,0.00607937452447318
"passive pelagic","Marine Litter","Benthic Habitat (& assoc. biota): non-VMEs","L","O","C",2,NA,0.33,0.33,0.2,0.02178,0.200619359307615
"passive pelagic","Marine Litter","Pelagic Habitats (& assoc. biota)","L","O","L",1,NA,0.33,0.33,0.05,0.005445,0.0501548398269037
"passive pelagic","Marine Litter","Marine Mammals","L","O","A",1,NA,0.33,0.33,1,0.1089,1.00309679653807
"passive pelagic","Marine Litter","Fish","L","O","L",1,NA,0.33,0.33,0.05,0.005445,0.0501548398269037
"passive pelagic","Marine Litter","Elasmobranchs","L","O","L",1,NA,0.33,0.33,0.05,0.005445,0.0501548398269037
"passive pelagic","Marine Litter","Reptiles","L","O","A",1,NA,0.33,0.33,1,0.1089,1.00309679653807
"passive pelagic","Marine Litter","Seabirds","L","O","A",1,NA,0.33,0.33,1,0.1089,1.00309679653807
"passive pelagic","Marine Litter","Cephalopods","L","O","L",1,NA,0.33,0.33,0.05,0.005445,0.0501548398269037
"passive pelagic","Marine Litter","Food Web (D4)","NO",NA,NA,1,NA,0,0,0,0,0
"passive demersal","Marine Litter","Benthic Habitat (& assoc. biota): VMEs","S","O","C",1,NA,0.03,0.33,0.2,0.00198,0.0182381235734195
"passive demersal","Marine Litter","Benthic Habitat (& assoc. biota): non-VMEs","L","O","C",2,NA,0.33,0.33,0.2,0.02178,0.200619359307615
"passive demersal","Marine Litter","Pelagic Habitats (& assoc. biota)","L","O","L",1,NA,0.33,0.33,0.05,0.005445,0.0501548398269037
"passive demersal","Marine Litter","Marine Mammals","L","O","C",1,NA,0.33,0.33,0.2,0.02178,0.200619359307615
"passive demersal","Marine Litter","Fish","L","O","L",1,NA,0.33,0.33,0.05,0.005445,0.0501548398269037
"passive demersal","Marine Litter","Elasmobranchs","L","O","L",1,NA,0.33,0.33,0.05,0.005445,0.0501548398269037
"passive demersal","Marine Litter","Reptiles","L","O","C",1,NA,0.33,0.33,0.2,0.02178,0.200619359307615
"passive demersal","Marine Litter","Seabirds","L","O","C",1,NA,0.33,0.33,0.2,0.02178,0.200619359307615
"passive demersal","Marine Litter","Cephalopods","L","O","L",1,NA,0.33,0.33,0.05,0.005445,0.0501548398269037
"passive demersal","Marine Litter","Food Web (D4)","NO",NA,NA,1,NA,0,0,0,0,0
"Small vessels - pelagic trawlers","Marine Litter","Benthic Habitat (& assoc. biota): VMEs","E","O","C",1,NA,0.01,0.33,0.2,0.00066,0.00607937452447318
"Small vessels - pelagic trawlers","Marine Litter","Benthic Habitat (& assoc. biota): non-VMEs","S","O","C",2,NA,0.03,0.33,0.2,0.00198,0.0182381235734195
"Small vessels - pelagic trawlers","Marine Litter","Pelagic Habitats (& assoc. biota)","L","O","L",1,NA,0.33,0.33,0.05,0.005445,0.0501548398269037
"Small vessels - pelagic trawlers","Marine Litter","Marine Mammals","L","O","C",1,NA,0.33,0.33,0.2,0.02178,0.200619359307615
"Small vessels - pelagic trawlers","Marine Litter","Fish","L","O","L",1,NA,0.33,0.33,0.05,0.005445,0.0501548398269037
"Small vessels - pelagic trawlers","Marine Litter","Elasmobranchs","L","O","L",1,NA,0.33,0.33,0.05,0.005445,0.0501548398269037
"Small vessels - pelagic trawlers","Marine Litter","Reptiles","L","O","C",1,NA,0.33,0.33,0.2,0.02178,0.200619359307615
"Small vessels - pelagic trawlers","Marine Litter","Seabirds","L","O","C",1,NA,0.33,0.33,0.2,0.02178,0.200619359307615
"Small vessels - pelagic trawlers","Marine Litter","Cephalopods","L","O","L",1,NA,0.33,0.33,0.05,0.005445,0.0501548398269037
"Small vessels - pelagic trawlers","Marine Litter","Food Web (D4)","NO",NA,NA,1,NA,0,0,0,0,0
"Small vessels - active demersal","Marine Litter","Benthic Habitat (& assoc. biota): VMEs","S","O","C",1,NA,0.03,0.33,0.2,0.00198,0.0182381235734195
"Small vessels - active demersal","Marine Litter","Benthic Habitat (& assoc. biota): non-VMEs","S","O","C",2,NA,0.03,0.33,0.2,0.00198,0.0182381235734195
"Small vessels - active demersal","Marine Litter","Pelagic Habitats (& assoc. biota)","L","O","L",1,NA,0.33,0.33,0.05,0.005445,0.0501548398269037
"Small vessels - active demersal","Marine Litter","Marine Mammals","L","O","C",1,NA,0.33,0.33,0.2,0.02178,0.200619359307615
"Small vessels - active demersal","Marine Litter","Fish","L","O","L",1,NA,0.33,0.33,0.05,0.005445,0.0501548398269037
"Small vessels - active demersal","Marine Litter","Elasmobranchs","L","O","L",1,NA,0.33,0.33,0.05,0.005445,0.0501548398269037
"Small vessels - active demersal","Marine Litter","Reptiles","L","O","C",1,NA,0.33,0.33,0.2,0.02178,0.200619359307615
"Small vessels - active demersal","Marine Litter","Seabirds","L","O","C",1,NA,0.33,0.33,0.2,0.02178,0.200619359307615
"Small vessels - active demersal","Marine Litter","Cephalopods","L","O","L",1,NA,0.33,0.33,0.05,0.005445,0.0501548398269037
"Small vessels - active demersal","Marine Litter","Food Web (D4)","NO",NA,NA,1,NA,0,0,0,0,0
"Large vessels - pelagic trawlers","Marine Litter","Benthic Habitat (& assoc. biota): VMEs","E","O","C",1,NA,0.01,0.33,0.2,0.00066,0.00607937452447318
"Large vessels - pelagic trawlers","Marine Litter","Benthic Habitat (& assoc. biota): non-VMEs","S","O","C",2,NA,0.03,0.33,0.2,0.00198,0.0182381235734195
"Large vessels - pelagic trawlers","Marine Litter","Pelagic Habitats (& assoc. biota)","L","O","L",1,NA,0.33,0.33,0.05,0.005445,0.0501548398269037
"Large vessels - pelagic trawlers","Marine Litter","Marine Mammals","L","O","C",1,NA,0.33,0.33,0.2,0.02178,0.200619359307615
"Large vessels - pelagic trawlers","Marine Litter","Fish","L","O","L",1,NA,0.33,0.33,0.05,0.005445,0.0501548398269037
"Large vessels - pelagic trawlers","Marine Litter","Elasmobranchs","L","O","L",1,NA,0.33,0.33,0.05,0.005445,0.0501548398269037
"Large vessels - pelagic trawlers","Marine Litter","Reptiles","L","O","C",1,NA,0.33,0.33,0.2,0.02178,0.200619359307615
"Large vessels - pelagic trawlers","Marine Litter","Seabirds","L","O","C",1,NA,0.33,0.33,0.2,0.02178,0.200619359307615
"Large vessels - pelagic trawlers","Marine Litter","Cephalopods","L","O","L",1,NA,0.33,0.33,0.05,0.005445,0.0501548398269037
"Large vessels - pelagic trawlers","Marine Litter","Food Web (D4)","NO",NA,NA,1,NA,0,0,0,0,0
"Large vessels - active demersal","Marine Litter","Benthic Habitat (& assoc. biota): VMEs","S","O","C",1,NA,0.03,0.33,0.2,0.00198,0.0182381235734195
"Large vessels - active demersal","Marine Litter","Benthic Habitat (& assoc. biota): non-VMEs","S","O","C",2,NA,0.03,0.33,0.2,0.00198,0.0182381235734195
"Large vessels - active demersal","Marine Litter","Pelagic Habitats (& assoc. biota)","L","O","L",1,NA,0.33,0.33,0.05,0.005445,0.0501548398269037
"Large vessels - active demersal","Marine Litter","Marine Mammals","L","O","C",1,NA,0.33,0.33,0.2,0.02178,0.200619359307615
"Large vessels - active demersal","Marine Litter","Fish","L","O","L",1,NA,0.33,0.33,0.05,0.005445,0.0501548398269037
"Large vessels - active demersal","Marine Litter","Elasmobranchs","L","O","L",1,NA,0.33,0.33,0.05,0.005445,0.0501548398269037
"Large vessels - active demersal","Marine Litter","Reptiles","L","O","C",1,NA,0.33,0.33,0.2,0.02178,0.200619359307615
"Large vessels - active demersal","Marine Litter","Seabirds","L","O","C",1,NA,0.33,0.33,0.2,0.02178,0.200619359307615
"Large vessels - active demersal","Marine Litter","Cephalopods","L","O","L",1,NA,0.33,0.33,0.05,0.005445,0.0501548398269037
"Large vessels - active demersal","Marine Litter","Food Web (D4)","NO",NA,NA,1,NA,0,0,0,0,0
"Large vessels - reduction fisheries","Marine Litter","Benthic Habitat (& assoc. biota): VMEs","E","O","C",1,NA,0.01,0.33,0.2,0.00066,0.00607937452447318
"Large vessels - reduction fisheries","Marine Litter","Benthic Habitat (& assoc. biota): non-VMEs","S","O","C",2,NA,0.03,0.33,0.2,0.00198,0.0182381235734195
"Large vessels - reduction fisheries","Marine Litter","Pelagic Habitats (& assoc. biota)","L","O","L",1,NA,0.33,0.33,0.05,0.005445,0.0501548398269037
"Large vessels - reduction fisheries","Marine Litter","Marine Mammals","L","O","C",1,NA,0.33,0.33,0.2,0.02178,0.200619359307615
"Large vessels - reduction fisheries","Marine Litter","Fish","L","O","L",1,NA,0.33,0.33,0.05,0.005445,0.0501548398269037
"Large vessels - reduction fisheries","Marine Litter","Elasmobranchs","L","O","L",1,NA,0.33,0.33,0.05,0.005445,0.0501548398269037
"Large vessels - reduction fisheries","Marine Litter","Reptiles","L","O","C",1,NA,0.33,0.33,0.2,0.02178,0.200619359307615
"Large vessels - reduction fisheries","Marine Litter","Seabirds","L","O","C",1,NA,0.33,0.33,0.2,0.02178,0.200619359307615
"Large vessels - reduction fisheries","Marine Litter","Cephalopods","L","O","L",1,NA,0.33,0.33,0.05,0.005445,0.0501548398269037
"Large vessels - reduction fisheries","Marine Litter","Food Web (D4)","NO",NA,NA,1,NA,0,0,0,0,0
"passive pelagic","Introduction of Contaminating compounds","Benthic Habitat (& assoc. biota): VMEs","E","R","L",1,NA,0.01,0.08,0.05,4e-05,0.000368446940877162
"passive pelagic","Introduction of Contaminating compounds","Benthic Habitat (& assoc. biota): non-VMEs","E","R","L",1,NA,0.01,0.08,0.05,4e-05,0.000368446940877162
"passive pelagic","Introduction of Contaminating compounds","Pelagic Habitats (& assoc. biota)","S","R","L",1,NA,0.03,0.08,0.05,0.00012,0.00110534082263149
"passive pelagic","Introduction of Contaminating compounds","Marine Mammals","S","R","L",1,NA,0.03,0.08,0.05,0.00012,0.00110534082263149
"passive pelagic","Introduction of Contaminating compounds","Fish","S","R","L",1,NA,0.03,0.08,0.05,0.00012,0.00110534082263149
"passive pelagic","Introduction of Contaminating compounds","Elasmobranchs","S","R","L",1,NA,0.03,0.08,0.05,0.00012,0.00110534082263149
"passive pelagic","Introduction of Contaminating compounds","Reptiles","S","R","L",1,NA,0.03,0.08,0.05,0.00012,0.00110534082263149
"passive pelagic","Introduction of Contaminating compounds","Seabirds","S","R","L",1,NA,0.03,0.08,0.05,0.00012,0.00110534082263149
"passive pelagic","Introduction of Contaminating compounds","Cephalopods","S","R","L",1,NA,0.03,0.08,0.05,0.00012,0.00110534082263149
"passive pelagic","Introduction of Contaminating compounds","Food Web (D4)","S","R","L",1,NA,0.03,0.08,0.05,0.00012,0.00110534082263149
"passive demersal","Introduction of Contaminating compounds","Benthic Habitat (& assoc. biota): VMEs","E","R","L",1,NA,0.01,0.08,0.05,4e-05,0.000368446940877162
"passive demersal","Introduction of Contaminating compounds","Benthic Habitat (& assoc. biota): non-VMEs","E","R","L",1,NA,0.01,0.08,0.05,4e-05,0.000368446940877162
"passive demersal","Introduction of Contaminating compounds","Pelagic Habitats (& assoc. biota)","S","R","L",1,NA,0.03,0.08,0.05,0.00012,0.00110534082263149
"passive demersal","Introduction of Contaminating compounds","Marine Mammals","S","R","L",1,NA,0.03,0.08,0.05,0.00012,0.00110534082263149
"passive demersal","Introduction of Contaminating compounds","Fish","S","R","L",1,NA,0.03,0.08,0.05,0.00012,0.00110534082263149
"passive demersal","Introduction of Contaminating compounds","Elasmobranchs","S","R","L",1,NA,0.03,0.08,0.05,0.00012,0.00110534082263149
"passive demersal","Introduction of Contaminating compounds","Reptiles","S","R","L",1,NA,0.03,0.08,0.05,0.00012,0.00110534082263149
"passive demersal","Introduction of Contaminating compounds","Seabirds","S","R","L",1,NA,0.03,0.08,0.05,0.00012,0.00110534082263149
"passive demersal","Introduction of Contaminating compounds","Cephalopods","S","R","L",1,NA,0.03,0.08,0.05,0.00012,0.00110534082263149
"passive demersal","Introduction of Contaminating compounds","Food Web (D4)","S","R","L",1,NA,0.03,0.08,0.05,0.00012,0.00110534082263149
"Small vessels - pelagic trawlers","Introduction of Contaminating compounds","Benthic Habitat (& assoc. biota): VMEs","E","R","L",1,NA,0.01,0.08,0.05,4e-05,0.000368446940877162
"Small vessels - pelagic trawlers","Introduction of Contaminating compounds","Benthic Habitat (& assoc. biota): non-VMEs","E","R","L",1,NA,0.01,0.08,0.05,4e-05,0.000368446940877162
"Small vessels - pelagic trawlers","Introduction of Contaminating compounds","Pelagic Habitats (& assoc. biota)","S","R","L",1,NA,0.03,0.08,0.05,0.00012,0.00110534082263149
"Small vessels - pelagic trawlers","Introduction of Contaminating compounds","Marine Mammals","S","R","L",1,NA,0.03,0.08,0.05,0.00012,0.00110534082263149
"Small vessels - pelagic trawlers","Introduction of Contaminating compounds","Fish","S","R","L",1,NA,0.03,0.08,0.05,0.00012,0.00110534082263149
"Small vessels - pelagic trawlers","Introduction of Contaminating compounds","Elasmobranchs","S","R","L",1,NA,0.03,0.08,0.05,0.00012,0.00110534082263149
"Small vessels - pelagic trawlers","Introduction of Contaminating compounds","Reptiles","S","R","L",1,NA,0.03,0.08,0.05,0.00012,0.00110534082263149
"Small vessels - pelagic trawlers","Introduction of Contaminating compounds","Seabirds","S","R","L",1,NA,0.03,0.08,0.05,0.00012,0.00110534082263149
"Small vessels - pelagic trawlers","Introduction of Contaminating compounds","Cephalopods","S","R","L",1,NA,0.03,0.08,0.05,0.00012,0.00110534082263149
"Small vessels - pelagic trawlers","Introduction of Contaminating compounds","Food Web (D4)","S","R","L",1,NA,0.03,0.08,0.05,0.00012,0.00110534082263149
"Small vessels - active demersal","Introduction of Contaminating compounds","Benthic Habitat (& assoc. biota): VMEs","E","R","L",1,NA,0.01,0.08,0.05,4e-05,0.000368446940877162
"Small vessels - active demersal","Introduction of Contaminating compounds","Benthic Habitat (& assoc. biota): non-VMEs","E","R","L",1,NA,0.01,0.08,0.05,4e-05,0.000368446940877162
"Small vessels - active demersal","Introduction of Contaminating compounds","Pelagic Habitats (& assoc. biota)","S","R","L",1,NA,0.03,0.08,0.05,0.00012,0.00110534082263149
"Small vessels - active demersal","Introduction of Contaminating compounds","Marine Mammals","S","R","L",1,NA,0.03,0.08,0.05,0.00012,0.00110534082263149
"Small vessels - active demersal","Introduction of Contaminating compounds","Fish","S","R","L",1,NA,0.03,0.08,0.05,0.00012,0.00110534082263149
"Small vessels - active demersal","Introduction of Contaminating compounds","Elasmobranchs","S","R","L",1,NA,0.03,0.08,0.05,0.00012,0.00110534082263149
"Small vessels - active demersal","Introduction of Contaminating compounds","Reptiles","S","R","L",1,NA,0.03,0.08,0.05,0.00012,0.00110534082263149
