"sector","pressure","ecoChar","overlap","frequency","DoI","confidence","comments","Overlap.Score","Frequency.Score","DoI.Score","Impact.Risk.Score","IR.relative.contribution"
"Algae sea based","Marine Litter","Benthic Habitat (& assoc. biota)","WP","C","L",NA,NA,0,0,0,0,NA
"Algae sea based","Marine Litter","Pelagic Habitats (& assoc. biota)","WP","C","L",NA,NA,0,0,0,0,NA
"Algae sea based","Marine Litter","Marine Mammals","WP","C","L",NA,NA,0,0,0,0,NA
"Algae sea based","Marine Litter","Fish","WP","C","L",NA,NA,0,0,0,0,NA
"Algae sea based","Marine Litter","Reptiles","WP","C","L",NA,NA,0,0,0,0,NA
"Algae sea based","Marine Litter","Seabirds","WP","C","L",NA,NA,0,0,0,0,NA
"Algae sea based","Marine Litter","Cephalopods","WP","C","L",NA,NA,0,0,0,0,NA
"Algae sea based","Marine Litter","Food Web (D4)","WP","C","L",NA,NA,0,0,0,0,NA
"High trophic species: sea based coastal (pens)","Introduction of Contaminating compounds","Benthic Habitat (& assoc. biota)","L","O","L",NA,NA,0,0,0,0,NA
"High trophic species: sea based offshore (pens)","Introduction of Contaminating compounds","Benthic Habitat (& assoc. biota)","S","R","L",NA,NA,0,0,0,0,NA
"High trophic species: land-based open flow through (tanks)","Introduction of Contaminating compounds","Benthic Habitat (& assoc. biota)","E","O","L",NA,NA,0,0,0,0,NA
"Polyculture sea based coastal","Introduction of Contaminating compounds","Benthic Habitat (& assoc. biota)","L","O","L",NA,NA,0,0,0,0,NA
"Polyculture sea based offshore","Introduction of Contaminating compounds","Benthic Habitat (& assoc. biota)","S","R","L",NA,NA,0,0,0,0,NA
"High trophic species: sea based coastal (pens)","Nutrient and organic enrichment","Benthic Habitat (& assoc. biota)","S","P","C",NA,NA,0,0,0,0,NA
"High trophic species: sea based coastal (pens)","Nutrient and organic enrichment","Pelagic Habitats (& assoc. biota)","S","P","C",NA,NA,0,0,0,0,NA
"High trophic species: sea based coastal (pens)","Nutrient and organic enrichment","Fish","S","R","C",NA,NA,0,0,0,0,NA
"High trophic species: sea based offshore (pens)","Nutrient and organic enrichment","Benthic Habitat (& assoc. biota)","S","P","L",NA,NA,0,0,0,0,NA
"High trophic species: sea based offshore (pens)","Nutrient and organic enrichment","Pelagic Habitats (& assoc. biota)","S","P","L",NA,NA,0,0,0,0,NA
"High trophic species: sea based offshore (pens)","Nutrient and organic enrichment","Fish","S","R","L",NA,NA,0,0,0,0,NA
"High trophic species: land-based open flow through (tanks)","Nutrient and organic enrichment","Benthic Habitat (& assoc. biota)","E","P","C",NA,NA,0,0,0,0,NA
"High trophic species: land-based open flow through (tanks)","Nutrient and organic enrichment","Pelagic Habitats (& assoc. biota)","E","P","C",NA,NA,0,0,0,0,NA
"High trophic species: land-based open flow through (tanks)","Nutrient and organic enrichment","Fish","E","P","C",NA,NA,0,0,0,0,NA
"Low trophic species: sea based long lines, raft","Nutrient and organic enrichment","Benthic Habitat (& assoc. biota)","NO","R","L",NA,NA,0,0,0,0,NA
"Low trophic species: sea based long lines, raft","Nutrient and organic enrichment","Pelagic Habitats (& assoc. biota)","NO","R","L",NA,NA,0,0,0,0,NA
"Low trophic species: sea based long lines, raft","Nutrient and organic enrichment","Fish","NO","R","L",NA,NA,0,0,0,0,NA
"Low trophic species: Sea-based on bottom","Nutrient and organic enrichment","Benthic Habitat (& assoc. biota)","NO","R","L",NA,NA,0,0,0,0,NA
"Low trophic species: Sea-based on bottom","Nutrient and organic enrichment","Pelagic Habitats (& assoc. biota)","NO","R","L",NA,NA,0,0,0,0,NA
"Low trophic species: Sea-based on bottom","Nutrient and organic enrichment","Fish","NO","R","L",NA,NA,0,0,0,0,NA
"Polyculture sea based coastal","Nutrient and organic enrichment","Benthic Habitat (& assoc. biota)","S","P","C",NA,NA,0,0,0,0,NA
"Polyculture sea based coastal","Nutrient and organic enrichment","Pelagic Habitats (& assoc. biota)","S","P","C",NA,NA,0,0,0,0,NA
"Polyculture sea based coastal","Nutrient and organic enrichment","Fish","S","R","L",NA,NA,0,0,0,0,NA
"Polyculture sea based offshore","Nutrient and organic enrichment","Benthic Habitat (& assoc. biota)","S","P","L",NA,NA,0,0,0,0,NA
"Polyculture sea based offshore","Nutrient and organic enrichment","Pelagic Habitats (& assoc. biota)","WP","P","L",NA,NA,0,0,0,0,NA
"Polyculture sea based offshore","Nutrient and organic enrichment","Fish","WP","R","L",NA,NA,0,0,0,0,NA
"High trophic species: land-based open flow through (tanks)","Invasive species","Benthic Habitat (& assoc. biota)","NO","R","L",NA,NA,0,0,0,0,NA
"High trophic species: land-based open flow through (tanks)","Invasive species","Pelagic Habitats (& assoc. biota)","NO","R","L",NA,NA,0,0,0,0,NA
"High trophic species: land-based open flow through (tanks)","Invasive species","Fish","E","R","C",NA,NA,0,0,0,0,NA
"Low trophic species: sea based long lines, raft","Invasive species","Benthic Habitat (& assoc. biota)","WP","R","C",NA,NA,0,0,0,0,NA
"Low trophic species: sea based long lines, raft","Invasive species","Pelagic Habitats (& assoc. biota)","WP","R","C",NA,NA,0,0,0,0,NA
"Low trophic species: sea based long lines, raft","Invasive species","Fish","WP","R","C",NA,NA,0,0,0,0,NA
"Low trophic species: Sea-based on bottom","Invasive species","Benthic Habitat (& assoc. biota)","WP","R","C",NA,NA,0,0,0,0,NA
"Low trophic species: Sea-based on bottom","Invasive species","Pelagic Habitats (& assoc. biota)","WP","R","C",NA,NA,0,0,0,0,NA
"Low trophic species: Sea-based on bottom","Invasive species","Fish","WP","R","C",NA,NA,0,0,0,0,NA
"Polyculture sea based coastal","Invasive species","Benthic Habitat (& assoc. biota)","WP","R","C",NA,NA,0,0,0,0,NA
"Polyculture sea based coastal","Invasive species","Pelagic Habitats (& assoc. biota)","WP","R","C",NA,NA,0,0,0,0,NA
"Polyculture sea based coastal","Invasive species","Fish","WP","R","C",NA,NA,0,0,0,0,NA
"Polyculture sea based offshore","Invasive species","Benthic Habitat (& assoc. biota)","WP","R","C",NA,NA,0,0,0,0,NA
"Polyculture sea based offshore","Invasive species","Pelagic Habitats (& assoc. biota)","WP","R","C",NA,NA,0,0,0,0,NA
"Polyculture sea based offshore","Invasive species","Fish","WP","R","C",NA,NA,0,0,0,0,NA
"Algae sea based","Invasive species","Benthic Habitat (& assoc. biota)","WP","R","C",NA,NA,0,0,0,0,NA
"Algae sea based","Invasive species","Pelagic Habitats (& assoc. biota)","WP","R","C",NA,NA,0,0,0,0,NA
"Algae sea based","Invasive species","Fish","WP","R","C",NA,NA,0,0,0,0,NA
"High trophic species: sea based coastal (pens)","Species Extraction","Pelagic Habitats (& assoc. biota)","WP","C","L",NA,NA,0,0,0,0,NA
"High trophic species: sea based coastal (pens)","Species Extraction","Fish","WP","C","C",NA,NA,0,0,0,0,NA
"High trophic species: sea based coastal (pens)","Species Extraction","Food Web (D4)","WP","C","C",NA,NA,0,0,0,0,NA
"High trophic species: sea based offshore (pens)","Species Extraction","Pelagic Habitats (& assoc. biota)","WP","C","L",NA,NA,0,0,0,0,NA
"High trophic species: sea based offshore (pens)","Species Extraction","Fish","WP","C","C",NA,NA,0,0,0,0,NA
"High trophic species: sea based offshore (pens)","Species Extraction","Food Web (D4)","WP","C","C",NA,NA,0,0,0,0,NA
"High trophic species: land-based open flow through (tanks)","Species Extraction","Pelagic Habitats (& assoc. biota)","WP","C","L",NA,NA,0,0,0,0,NA
"High trophic species: land-based open flow through (tanks)","Species Extraction","Fish","WP","C","C",NA,NA,0,0,0,0,NA
"High trophic species: land-based open flow through (tanks)","Species Extraction","Food Web (D4)","WP","C","C",NA,NA,0,0,0,0,NA
"High trophic species: land-based RAS (tanks)","Species Extraction","Pelagic Habitats (& assoc. biota)","WP","C","L",NA,NA,0,0,0,0,NA
"High trophic species: land-based RAS (tanks)","Species Extraction","Fish","WP","C","C",NA,NA,0,0,0,0,NA
"High trophic species: land-based RAS (tanks)","Species Extraction","Food Web (D4)","WP","C","C",NA,NA,0,0,0,0,NA
"Low trophic species: sea based long lines, raft","Species Extraction","Pelagic Habitats (& assoc. biota)","NO","R","L",NA,NA,0,0,0,0,NA
"Low trophic species: sea based long lines, raft","Species Extraction","Fish","NO","R","L",NA,NA,0,0,0,0,NA
"Low trophic species: sea based long lines, raft","Species Extraction","Food Web (D4)","NO","R","L",NA,NA,0,0,0,0,NA
"Low trophic species: Sea-based on bottom","Species Extraction","Pelagic Habitats (& assoc. biota)","NO","R","L",NA,NA,0,0,0,0,NA
"Low trophic species: Sea-based on bottom","Species Extraction","Fish","NO","R","L",NA,NA,0,0,0,0,NA
"Low trophic species: Sea-based on bottom","Species Extraction","Food Web (D4)","NO","R","L",NA,NA,0,0,0,0,NA
"Polyculture sea based coastal","Species Extraction","Pelagic Habitats (& assoc. biota)","WP","C","L",NA,NA,0,0,0,0,NA
"Polyculture sea based coastal","Species Extraction","Fish","WP","C","C",NA,NA,0,0,0,0,NA
"Polyculture sea based coastal","Species Extraction","Food Web (D4)","WP","C","C",NA,NA,0,0,0,0,NA
"Polyculture sea based offshore","Species Extraction","Pelagic Habitats (& assoc. biota)","WP","C","L",NA,NA,0,0,0,0,NA
"Polyculture sea based offshore","Species Extraction","Fish","WP","C","C",NA,NA,0,0,0,0,NA
"Polyculture sea based offshore","Species Extraction","Food Web (D4)","WP","C","C",NA,NA,0,0,0,0,NA
"High trophic species: sea based coastal (pens)","Interaction with wild organisms","Benthic Habitat (& assoc. biota)","WP","P","L",NA,NA,0,0,0,0,NA
"High trophic species: sea based coastal (pens)","Interaction with wild organisms","Marine Mammals","WP","C","L",NA,NA,0,0,0,0,NA
"High trophic species: sea based coastal (pens)","Interaction with wild organisms","Fish","WP","P","C",NA,NA,0,0,0,0,NA
"High trophic species: sea based coastal (pens)","Interaction with wild organisms","Reptiles","WP","C","L",NA,NA,0,0,0,0,NA
"High trophic species: sea based coastal (pens)","Interaction with wild organisms","Seabirds","WP","P","L",NA,NA,0,0,0,0,NA
"High trophic species: sea based offshore (pens)","Interaction with wild organisms","Benthic Habitat (& assoc. biota)","L","C","L",NA,NA,0,0,0,0,NA
"High trophic species: sea based offshore (pens)","Interaction with wild organisms","Marine Mammals","WP","C","L",NA,NA,0,0,0,0,NA
"High trophic species: sea based offshore (pens)","Interaction with wild organisms","Fish","WP","P","C",NA,NA,0,0,0,0,NA
"High trophic species: sea based offshore (pens)","Interaction with wild organisms","Reptiles","WP","C","L",NA,NA,0,0,0,0,NA
"High trophic species: sea based offshore (pens)","Interaction with wild organisms","Seabirds","WP","P","L",NA,NA,0,0,0,0,NA
"High trophic species: land-based open flow through (tanks)","Interaction with wild organisms","Benthic Habitat (& assoc. biota)","NO","R","L",NA,NA,0,0,0,0,NA
"High trophic species: land-based open flow through (tanks)","Interaction with wild organisms","Marine Mammals","NO","R","L",NA,NA,0,0,0,0,NA
"High trophic species: land-based open flow through (tanks)","Interaction with wild organisms","Fish","E","O","C",NA,NA,0,0,0,0,NA
"High trophic species: land-based open flow through (tanks)","Interaction with wild organisms","Reptiles","NO","R","L",NA,NA,0,0,0,0,NA
"High trophic species: land-based open flow through (tanks)","Interaction with wild organisms","Seabirds","E","C","L",NA,NA,0,0,0,0,NA
"Polyculture sea based coastal","Interaction with wild organisms","Benthic Habitat (& assoc. biota)","WP","P","L",NA,NA,0,0,0,0,NA
"Polyculture sea based coastal","Interaction with wild organisms","Marine Mammals","WP","C","L",NA,NA,0,0,0,0,NA
"Polyculture sea based coastal","Interaction with wild organisms","Fish","WP","P","C",NA,NA,0,0,0,0,NA
"Polyculture sea based coastal","Interaction with wild organisms","Reptiles","WP","C","L",NA,NA,0,0,0,0,NA
"Polyculture sea based coastal","Interaction with wild organisms","Seabirds","WP","P","L",NA,NA,0,0,0,0,NA
"Polyculture sea based offshore","Interaction with wild organisms","Benthic Habitat (& assoc. biota)","S","C","L",NA,NA,0,0,0,0,NA
"Polyculture sea based offshore","Interaction with wild organisms","Marine Mammals","WP","P","L",NA,NA,0,0,0,0,NA
"Polyculture sea based offshore","Interaction with wild organisms","Fish","WP","P","C",NA,NA,0,0,0,0,NA
"Polyculture sea based offshore","Interaction with wild organisms","Reptiles","WP","P","L",NA,NA,0,0,0,0,NA
"Polyculture sea based offshore","Interaction with wild organisms","Seabirds","WP","P","L",NA,NA,0,0,0,0,NA
